"","Informazioni.cronologiche","gender","age","Occupation","Question.1","Question.2","Question.3","Question.4","Question.5","Question.6","Question.7","Question.8","Question.9","Fam_discount"
"1","05/08/2021 13.49.36","F",25,"Student","Alternative 2","Alternative 1","Alternative 3","Alternative 2","Alternative 1","Alternative 2","Alternative 2","Alternative 3","Alternative 1","Yes"
"2","05/08/2021 15.42.16","M",29,"Unemployed","Alternative 2","Alternative 3","Alternative 2","Alternative 2","Alternative 2","Alternative 3","Alternative 3","Alternative 2","Alternative 2","Yes"
"3","05/08/2021 15.42.58","M",66,"Worker","Alternative 3","Alternative 3","Alternative 1","Alternative 2","Alternative 2","Alternative 3","Alternative 1","Alternative 1","Alternative 2","Yes"
"4","05/08/2021 15.50.12","M",27,"Unemployed","Alternative 2","Alternative 3","Alternative 1","Alternative 2","Alternative 2","Alternative 3","Alternative 1","Alternative 1","Alternative 1","Yes"
"5","05/08/2021 15.50.18","M",25,"Student","Alternative 2","Alternative 1","Alternative 2","Alternative 2","Alternative 1","Alternative 3","Alternative 1","Alternative 2","Alternative 2","Yes"
"6","05/08/2021 15.52.24","M",60,"Worker","Alternative 1","Alternative 3","Alternative 3","Alternative 2","Alternative 2","Alternative 3","Alternative 3","Alternative 2","Alternative 1","Yes"
"7","05/08/2021 16.00.28","M",32,"Worker","Alternative 2","Alternative 3","Alternative 2","Alternative 2","Alternative 1","Alternative 3","Alternative 3","Alternative 1","Alternative 1","Yes"
"8","05/08/2021 16.10.21","F",25,"Worker","Alternative 3","Alternative 3","Alternative 1","Alternative 2","Alternative 2","Alternative 3","Alternative 1","Alternative 1","Alternative 1","Yes"
"9","05/08/2021 16.17.01","M",26,"Student","Alternative 2","Alternative 3","Alternative 1","Alternative 2","Alternative 2","Alternative 3","Alternative 1","Alternative 2","Alternative 2","Yes"
"10","05/08/2021 16.26.58","F",55,"Worker","Alternative 2","Alternative 3","Alternative 3","Alternative 2","Alternative 2","Alternative 3","Alternative 1","Alternative 3","Alternative 1","Yes"
"11","05/08/2021 16.38.51","F",32,"Worker","Alternative 2","Alternative 2","Alternative 2","Alternative 2","Alternative 1","Alternative 3","Alternative 3","Alternative 3","Alternative 3","Yes"
"12","05/08/2021 16.40.03","M",25,"Worker","Alternative 2","Alternative 1","Alternative 2","Alternative 2","Alternative 2","Alternative 3","Alternative 3","Alternative 1","Alternative 2","No"
"13","05/08/2021 16.52.30","F",27,"Worker","Alternative 3","Alternative 3","Alternative 2","Alternative 2","Alternative 3","Alternative 3","Alternative 1","Alternative 2","Alternative 2","Yes"
"14","05/08/2021 17.24.38","M",27,"Worker","Alternative 2","Alternative 1","Alternative 1","Alternative 2","Alternative 2","Alternative 3","Alternative 1","Alternative 2","Alternative 1","Yes"
"15","05/08/2021 18.49.37","M",28,"Worker","Alternative 2","Alternative 3","Alternative 2","Alternative 2","Alternative 2","Alternative 3","Alternative 1","Alternative 1","Alternative 2","Yes"
"16","05/08/2021 22.06.42","F",48,"Worker","Alternative 2","Alternative 3","Alternative 1","Alternative 2","Alternative 2","Alternative 3","Alternative 1","Alternative 1","Alternative 2","Yes"
"17","05/08/2021 23.00.21","F",28,"Worker","Alternative 2","Alternative 3","Alternative 2","Alternative 2","Alternative 2","Alternative 2","Alternative 1","Alternative 3","Alternative 1","Yes"
"18","06/08/2021 7.53.52","M",25,"Student","Alternative 1","Alternative 3","Alternative 2","Alternative 2","Alternative 1","Alternative 3","Alternative 2","Alternative 1","Alternative 3","Yes"
"19","06/08/2021 11.12.12","M",38,"Worker","Alternative 2","Alternative 3","Alternative 1","Alternative 2","Alternative 2","Alternative 2","Alternative 1","Alternative 1","Alternative 1","Yes"
"20","06/08/2021 11.14.04","M",38,"Worker","Alternative 2","Alternative 3","Alternative 1","Alternative 2","Alternative 2","Alternative 2","Alternative 1","Alternative 1","Alternative 1","Yes"
"21","06/08/2021 12.46.58","F",66,"Unemployed","Alternative 2","Alternative 3","Alternative 3","Alternative 2","Alternative 2","Alternative 3","Alternative 1","Alternative 1","Alternative 1","Yes"
"22","06/08/2021 16.49.51","F",25,"Student","Alternative 2","Alternative 1","Alternative 3","Alternative 2","Alternative 1","Alternative 2","Alternative 2","Alternative 3","Alternative 1","Yes"
"23","06/08/2021 20.22.57","F",27,"Worker","Alternative 3","Alternative 3","Alternative 2","Alternative 2","Alternative 3","Alternative 3","Alternative 1","Alternative 2","Alternative 2","Yes"
"24","07/08/2021 10.58.21","F",24,"Worker","Alternative 2","Alternative 3","Alternative 1","Alternative 2","Alternative 2","Alternative 3","Alternative 1","Alternative 1","Alternative 1","Yes"
"25","19/08/2021 18.33.09","M",26,"Student","Alternative 1","Alternative 1","Alternative 2","Alternative 3","Alternative 2","Alternative 3","Alternative 1","Alternative 1","Alternative 2","Yes"
"26","19/08/2021 18.34.45","M",31,"Worker","Alternative 2","Alternative 3","Alternative 1","Alternative 2","Alternative 2","Alternative 3","Alternative 1","Alternative 2","Alternative 1","Yes"
"27","19/08/2021 18.37.25","other",75,"Student","Alternative 2","Alternative 1","Alternative 3","Alternative 2","Alternative 3","Alternative 3","Alternative 1","Alternative 2","Alternative 2","Yes"
"28","19/08/2021 19.01.19","F",25,"Worker","Alternative 2","Alternative 1","Alternative 2","Alternative 2","Alternative 1","Alternative 3","Alternative 3","Alternative 2","Alternative 1","Yes"
"29","19/08/2021 19.02.21","M",23,"Student","Alternative 2","Alternative 1","Alternative 3","Alternative 2","Alternative 3","Alternative 2","Alternative 2","Alternative 2","Alternative 1","Yes"
"30","19/08/2021 19.06.43","F",36,"Worker","Alternative 2","Alternative 3","Alternative 2","Alternative 3","Alternative 3","Alternative 1","Alternative 3","Alternative 1","Alternative 2","Yes"
"31","19/08/2021 19.46.38","F",25,"Student","Alternative 2","Alternative 1","Alternative 3","Alternative 2","Alternative 1","Alternative 3","Alternative 1","Alternative 2","Alternative 3","Yes"
"33","19/08/2021 20.44.51","M",34,"Worker","Alternative 2","Alternative 3","Alternative 1","Alternative 3","Alternative 2","Alternative 3","Alternative 3","Alternative 2","Alternative 2","Yes"
"34","19/08/2021 21.28.56","F",26,"Unemployed","Alternative 2","Alternative 3","Alternative 3","Alternative 2","Alternative 3","Alternative 3","Alternative 1","Alternative 2","Alternative 2","Yes"
"35","19/08/2021 22.19.02","F",36,"Worker","Alternative 3","Alternative 3","Alternative 3","Alternative 3","Alternative 2","Alternative 3","Alternative 1","Alternative 1","Alternative 2","Yes"
"36","20/08/2021 9.11.00","F",27,"Worker","Alternative 2","Alternative 3","Alternative 1","Alternative 2","Alternative 2","Alternative 3","Alternative 1","Alternative 1","Alternative 2","No"
"37","20/08/2021 9.27.42","M",30,"Worker","Alternative 2","Alternative 3","Alternative 1","Alternative 2","Alternative 2","Alternative 3","Alternative 1","Alternative 1","Alternative 1","Yes"
"38","20/08/2021 10.08.13","F",27,"Worker","Alternative 2","Alternative 1","Alternative 2","Alternative 2","Alternative 1","Alternative 2","Alternative 1","Alternative 2","Alternative 1","Yes"
"39","20/08/2021 10.38.18","F",25,"Student","Alternative 2","Alternative 3","Alternative 1","Alternative 3","Alternative 1","Alternative 2","Alternative 3","Alternative 2","Alternative 2","Yes"
"40","20/08/2021 11.54.30","F",23,"Student","Alternative 1","Alternative 3","Alternative 3","Alternative 2","Alternative 2","Alternative 3","Alternative 1","Alternative 2","Alternative 2","Yes"
"41","20/08/2021 12.32.49","M",31,"Worker","Alternative 1","Alternative 1","Alternative 3","Alternative 1","Alternative 3","Alternative 1","Alternative 2","Alternative 2","Alternative 2","No"
"42","20/08/2021 14.03.41","M",30,"Student","Alternative 2","Alternative 3","Alternative 1","Alternative 2","Alternative 2","Alternative 3","Alternative 1","Alternative 1","Alternative 2","Yes"
"43","20/08/2021 14.35.20","M",27,"Student","Alternative 2","Alternative 3","Alternative 1","Alternative 2","Alternative 2","Alternative 3","Alternative 1","Alternative 2","Alternative 2","No"
"44","20/08/2021 18.18.02","F",25,"Worker","Alternative 2","Alternative 3","Alternative 1","Alternative 2","Alternative 2","Alternative 3","Alternative 1","Alternative 2","Alternative 1","Yes"
"45","05/08/2021 15.24.58","M",57,"Worker","Alternative 3","Alternative 2","Alternative 1","Alternative 3","Alternative 3","Alternative 2","Alternative 2","Alternative 2","Alternative 1","No"
"46","05/08/2021 15.31.31","M",25,"Student","Alternative 2","Alternative 3","Alternative 2","Alternative 2","Alternative 1","Alternative 3","Alternative 2","Alternative 1","Alternative 2","Yes"
"47","05/08/2021 15.55.44","M",50,"Worker","Alternative 3","Alternative 1","Alternative 3","Alternative 2","Alternative 1","Alternative 2","Alternative 1","Alternative 2","Alternative 2","Yes"
"48","05/08/2021 15.59.40","F",25,"Student","Alternative 2","Alternative 3","Alternative 2","Alternative 2","Alternative 1","Alternative 3","Alternative 1","Alternative 3","Alternative 2","Yes"
"49","05/08/2021 16.21.50","F",38,"Worker","Alternative 2","Alternative 2","Alternative 2","Alternative 3","Alternative 2","Alternative 1","Alternative 3","Alternative 1","Alternative 2","Yes"
"50","05/08/2021 16.24.46","M",35,"Worker","Alternative 2","Alternative 3","Alternative 1","Alternative 2","Alternative 2","Alternative 2","Alternative 1","Alternative 1","Alternative 1","Yes"
"51","05/08/2021 16.26.22","M",40,"Worker","Alternative 2","Alternative 3","Alternative 2","Alternative 2","Alternative 2","Alternative 3","Alternative 1","Alternative 2","Alternative 2","Yes"
"52","05/08/2021 16.45.33","M",52,"Unemployed","Alternative 2","Alternative 3","Alternative 2","Alternative 2","Alternative 2","Alternative 2","Alternative 2","Alternative 3","Alternative 1","No"
"53","05/08/2021 17.08.15","M",57,"Worker","Alternative 2","Alternative 3","Alternative 2","Alternative 2","Alternative 2","Alternative 3","Alternative 3","Alternative 1","Alternative 2","Yes"
"54","05/08/2021 17.40.21","F",48,"Unemployed","Alternative 2","Alternative 3","Alternative 1","Alternative 2","Alternative 2","Alternative 3","Alternative 1","Alternative 2","Alternative 2","Yes"
"55","05/08/2021 17.50.26","M",64,"Worker","Alternative 2","Alternative 3","Alternative 2","Alternative 2","Alternative 2","Alternative 2","Alternative 1","Alternative 1","Alternative 3","Yes"
"56","05/08/2021 17.55.43","M",26,"Unemployed","Alternative 2","Alternative 3","Alternative 1","Alternative 2","Alternative 2","Alternative 3","Alternative 1","Alternative 1","Alternative 1","Yes"
"57","05/08/2021 18.01.26","F",33,"Worker","Alternative 2","Alternative 3","Alternative 2","Alternative 1","Alternative 2","Alternative 1","Alternative 3","Alternative 1","Alternative 2","Yes"
"58","05/08/2021 18.11.57","F",19,"Student","Alternative 2","Alternative 3","Alternative 2","Alternative 2","Alternative 2","Alternative 3","Alternative 1","Alternative 1","Alternative 2","Yes"
"59","05/08/2021 18.19.21","F",53,"Worker","Alternative 2","Alternative 3","Alternative 1","Alternative 2","Alternative 2","Alternative 3","Alternative 1","Alternative 1","Alternative 1","Yes"
"60","05/08/2021 20.12.25","F",40,"Worker","Alternative 1","Alternative 2","Alternative 3","Alternative 2","Alternative 1","Alternative 2","Alternative 1","Alternative 3","Alternative 1","Yes"
"61","05/08/2021 22.29.51","M",22,"Student","Alternative 2","Alternative 3","Alternative 1","Alternative 2","Alternative 2","Alternative 3","Alternative 1","Alternative 2","Alternative 2","Yes"
"62","06/08/2021 1.14.02","F",25,"Student","Alternative 2","Alternative 1","Alternative 2","Alternative 3","Alternative 1","Alternative 1","Alternative 3","Alternative 3","Alternative 2","Yes"
"63","06/08/2021 8.13.51","M",38,"Worker","Alternative 2","Alternative 3","Alternative 2","Alternative 2","Alternative 1","Alternative 2","Alternative 1","Alternative 1","Alternative 1","Yes"
"64","06/08/2021 10.02.49","M",42,"Worker","Alternative 1","Alternative 3","Alternative 2","Alternative 2","Alternative 2","Alternative 2","Alternative 1","Alternative 3","Alternative 1","Yes"
"65","06/08/2021 14.08.50","F",21,"Student","Alternative 1","Alternative 1","Alternative 2","Alternative 2","Alternative 2","Alternative 3","Alternative 1","Alternative 2","Alternative 1","Yes"
"66","06/08/2021 15.11.57","F",18,"Student","Alternative 2","Alternative 3","Alternative 1","Alternative 2","Alternative 2","Alternative 3","Alternative 1","Alternative 1","Alternative 2","Yes"
"67","06/08/2021 15.22.11","M",34,"Worker","Alternative 2","Alternative 1","Alternative 2","Alternative 1","Alternative 3","Alternative 1","Alternative 1","Alternative 3","Alternative 1","Yes"
"68","06/08/2021 16.39.39","M",29,"Worker","Alternative 2","Alternative 3","Alternative 3","Alternative 2","Alternative 1","Alternative 3","Alternative 3","Alternative 1","Alternative 2","Yes"
"69","06/08/2021 17.45.22","M",21,"Student","Alternative 2","Alternative 1","Alternative 3","Alternative 2","Alternative 2","Alternative 3","Alternative 2","Alternative 1","Alternative 2","Yes"
"70","06/08/2021 18.19.50","M",24,"Student","Alternative 2","Alternative 3","Alternative 1","Alternative 2","Alternative 1","Alternative 2","Alternative 3","Alternative 3","Alternative 1","No"
"71","06/08/2021 18.21.27","M",22,"Student","Alternative 2","Alternative 2","Alternative 1","Alternative 2","Alternative 2","Alternative 1","Alternative 3","Alternative 1","Alternative 2","Yes"
"72","06/08/2021 21.44.52","F",24,"Student","Alternative 2","Alternative 3","Alternative 1","Alternative 2","Alternative 2","Alternative 3","Alternative 1","Alternative 2","Alternative 2","Yes"
"73","06/08/2021 21.45.50","F",24,"Student","Alternative 1","Alternative 2","Alternative 3","Alternative 2","Alternative 1","Alternative 1","Alternative 2","Alternative 1","Alternative 2","Yes"
"74","06/08/2021 23.04.07","F",27,"Student","Alternative 2","Alternative 1","Alternative 2","Alternative 2","Alternative 3","Alternative 3","Alternative 3","Alternative 2","Alternative 2","Yes"
"75","07/08/2021 10.34.25","M",18,"Student","Alternative 2","Alternative 3","Alternative 2","Alternative 2","Alternative 1","Alternative 3","Alternative 1","Alternative 1","Alternative 1","Yes"
"76","07/08/2021 15.48.14","M",26,"Student","Alternative 2","Alternative 1","Alternative 2","Alternative 2","Alternative 1","Alternative 3","Alternative 3","Alternative 2","Alternative 2","Yes"
"77","08/08/2021 11.13.09","F",24,"Student","Alternative 2","Alternative 1","Alternative 2","Alternative 2","Alternative 2","Alternative 3","Alternative 1","Alternative 3","Alternative 1","Yes"
"78","08/08/2021 16.29.23","M",58,"Worker","Alternative 3","Alternative 3","Alternative 1","Alternative 2","Alternative 3","Alternative 3","Alternative 1","Alternative 2","Alternative 1","Yes"
"79","08/08/2021 17.41.26","M",29,"Unemployed","Alternative 2","Alternative 3","Alternative 1","Alternative 2","Alternative 2","Alternative 3","Alternative 1","Alternative 1","Alternative 2","Yes"
"80","08/08/2021 17.46.46","F",48,"Worker","Alternative 2","Alternative 3","Alternative 1","Alternative 2","Alternative 2","Alternative 2","Alternative 1","Alternative 3","Alternative 1","Yes"
"81","08/08/2021 20.11.47","M",22,"Unemployed","Alternative 2","Alternative 3","Alternative 1","Alternative 2","Alternative 3","Alternative 3","Alternative 1","Alternative 1","Alternative 2","Yes"
"82","08/08/2021 22.54.37","M",30,"Student","Alternative 1","Alternative 3","Alternative 2","Alternative 2","Alternative 2","Alternative 3","Alternative 1","Alternative 2","Alternative 2","Yes"
"83","09/08/2021 11.29.40","M",70,"Unemployed","Alternative 2","Alternative 3","Alternative 1","Alternative 2","Alternative 1","Alternative 3","Alternative 1","Alternative 2","Alternative 2","Yes"
"84","09/08/2021 11.48.01","F",43,"Worker","Alternative 2","Alternative 3","Alternative 1","Alternative 2","Alternative 2","Alternative 3","Alternative 1","Alternative 1","Alternative 1","Yes"
"85","09/08/2021 15.50.20","F",22,"Student","Alternative 2","Alternative 1","Alternative 2","Alternative 2","Alternative 1","Alternative 3","Alternative 1","Alternative 1","Alternative 2","No"
"86","09/08/2021 16.41.32","M",45,"Unemployed","Alternative 2","Alternative 3","Alternative 3","Alternative 2","Alternative 2","Alternative 3","Alternative 1","Alternative 2","Alternative 2","No"
"87","09/08/2021 17.21.03","F",40,"Unemployed","Alternative 1","Alternative 2","Alternative 3","Alternative 1","Alternative 3","Alternative 1","Alternative 2","Alternative 2","Alternative 3","Yes"
"88","10/08/2021 12.59.59","M",20,"Student","Alternative 2","Alternative 3","Alternative 1","Alternative 2","Alternative 2","Alternative 3","Alternative 1","Alternative 1","Alternative 1","Yes"
"89","10/08/2021 13.01.48","F",35,"Unemployed","Alternative 2","Alternative 3","Alternative 1","Alternative 2","Alternative 2","Alternative 3","Alternative 1","Alternative 2","Alternative 2","Yes"
"90","10/08/2021 17.16.24","F",27,"Student","Alternative 2","Alternative 2","Alternative 1","Alternative 3","Alternative 2","Alternative 1","Alternative 2","Alternative 3","Alternative 1","Yes"
"91","10/08/2021 17.36.04","M",19,"Unemployed","Alternative 2","Alternative 1","Alternative 1","Alternative 1","Alternative 3","Alternative 2","Alternative 2","Alternative 1","Alternative 1","Yes"
"92","11/08/2021 22.56.47","F",27,"Worker","Alternative 2","Alternative 1","Alternative 1","Alternative 2","Alternative 1","Alternative 3","Alternative 3","Alternative 2","Alternative 1","Yes"
"93","12/08/2021 13.59.51","F",20,"Student","Alternative 2","Alternative 2","Alternative 1","Alternative 3","Alternative 2","Alternative 3","Alternative 3","Alternative 2","Alternative 2","Yes"
"94","12/08/2021 15.42.29","M",24,"Student","Alternative 2","Alternative 3","Alternative 1","Alternative 2","Alternative 3","Alternative 3","Alternative 1","Alternative 1","Alternative 1","Yes"
"95","13/08/2021 23.45.38","M",18,"Student","Alternative 2","Alternative 3","Alternative 3","Alternative 2","Alternative 1","Alternative 1","Alternative 1","Alternative 1","Alternative 1","Yes"
"96","14/08/2021 7.24.33","M",31,"Unemployed","Alternative 2","Alternative 1","Alternative 1","Alternative 2","Alternative 1","Alternative 3","Alternative 1","Alternative 3","Alternative 2","Yes"
"97","14/08/2021 11.04.38","M",29,"Worker","Alternative 2","Alternative 3","Alternative 1","Alternative 2","Alternative 2","Alternative 3","Alternative 1","Alternative 1","Alternative 1","Yes"
"98","14/08/2021 11.48.59","M",23,"Worker","Alternative 2","Alternative 1","Alternative 1","Alternative 2","Alternative 2","Alternative 2","Alternative 1","Alternative 3","Alternative 1","Yes"
"99","14/08/2021 12.00.02","M",47,"Worker","Alternative 1","Alternative 3","Alternative 1","Alternative 2","Alternative 1","Alternative 2","Alternative 2","Alternative 2","Alternative 2","Yes"
"100","14/08/2021 14.14.38","M",35,"Unemployed","Alternative 2","Alternative 3","Alternative 2","Alternative 2","Alternative 2","Alternative 2","Alternative 1","Alternative 3","Alternative 1","Yes"
"101","14/08/2021 14.58.43","M",24,"Worker","Alternative 2","Alternative 3","Alternative 1","Alternative 2","Alternative 1","Alternative 2","Alternative 3","Alternative 3","Alternative 1","Yes"
"102","14/08/2021 23.32.28","M",26,"Worker","Alternative 2","Alternative 1","Alternative 2","Alternative 2","Alternative 2","Alternative 2","Alternative 1","Alternative 3","Alternative 1","No"
